Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Date,Ozone
,,,,,,,,,,,,,2/1/1963,3.04
,,,,,,,,,,,,,3/1/1963,2.58
,,,,,,,,,,,,,4/1/1963,2.92
,,,,,,,,,,,,,5/1/1963,3.29
,,,,,,,,,,,,,6/1/1963,3.71
,,,,,,,,,,,,,7/1/1963,4.88
,,,,,,,,,,,,,8/1/1963,4.63
,,,,,,,,,,,,,9/1/1963,4.83
,,,,,,,,,,,,,10/1/1963,3.42
,,,,,,,,,,,,,11/1/1963,2.38
,,,,,,,,,,,,,12/1/1963,2.33
,,,,,,,,,,,,,1/1/1964,1.5
,,,,,,,,,,,,,2/1/1964,2.25
,,,,,,,,,,,,,3/1/1964,2.63
,,,,,,,,,,,,,4/1/1964,2.96
,,,,,,,,,,,,,5/1/1964,3.46
,,,,,,,,,,,,,6/1/1964,4.33
,,,,,,,,,,,,,7/1/1964,5.42
,,,,,,,,,,,,,8/1/1964,4.79
,,,,,,,,,,,,,9/1/1964,4.38
,,,,,,,,,,,,,10/1/1964,4.54
,,,,,,,,,,,,,11/1/1964,2.04
,,,,,,,,,,,,,12/1/1964,1.33
,,,,,,,,,,,,,1/1/1965,2.04
,,,,,,,,,,,,,2/1/1965,2.81
,,,,,,,,,,,,,3/1/1965,2.67
,,,,,,,,,,,,,4/1/1965,4.08
,,,,,,,,,,,,,5/1/1965,3.9
,,,,,,,,,,,,,6/1/1965,3.96
,,,,,,,,,,,,,7/1/1965,4.5
,,,,,,,,,,,,,8/1/1965,5.58
,,,,,,,,,,,,,9/1/1965,4.52
,,,,,,,,,,,,,10/1/1965,5.88
,,,,,,,,,,,,,11/1/1965,3.67
,,,,,,,,,,,,,12/1/1965,1.79
,,,,,,,,,,,,,1/1/1966,1.71
,,,,,,,,,,,,,2/1/1966,1.92
,,,,,,,,,,,,,3/1/1966,3.58
,,,,,,,,,,,,,4/1/1966,4.4
,,,,,,,,,,,,,5/1/1966,3.79
,,,,,,,,,,,,,6/1/1966,5.52
,,,,,,,,,,,,,7/1/1966,5.5
,,,,,,,,,,,,,8/1/1966,5
,,,,,,,,,,,,,9/1/1966,5.48
,,,,,,,,,,,,,10/1/1966,4.81
,,,,,,,,,,,,,11/1/1966,2.42
,,,,,,,,,,,,,12/1/1966,1.46
,,,,,,,,,,,,,1/1/1967,1.71
,,,,,,,,,,,,,2/1/1967,2.46
,,,,,,,,,,,,,3/1/1967,2.42
,,,,,,,,,,,,,4/1/1967,1.79
,,,,,,,,,,,,,5/1/1967,3.63
,,,,,,,,,,,,,6/1/1967,3.54
,,,,,,,,,,,,,7/1/1967,4.88
,,,,,,,,,,,,,8/1/1967,4.96
,,,,,,,,,,,,,9/1/1967,3.63
,,,,,,,,,,,,,10/1/1967,5.46
,,,,,,,,,,,,,11/1/1967,3.08
,,,,,,,,,,,,,12/1/1967,1.75
,,,,,,,,,,,,,1/1/1968,2.13
,,,,,,,,,,,,,2/1/1968,2.58
,,,,,,,,,,,,,3/1/1968,2.75
,,,,,,,,,,,,,4/1/1968,3.15
,,,,,,,,,,,,,5/1/1968,3.46
,,,,,,,,,,,,,6/1/1968,3.33
,,,,,,,,,,,,,7/1/1968,4.67
,,,,,,,,,,,,,8/1/1968,4.13
,,,,,,,,,,,,,9/1/1968,4.73
,,,,,,,,,,,,,10/1/1968,3.42
,,,,,,,,,,,,,11/1/1968,3.08
,,,,,,,,,,,,,12/1/1968,1.79
,,,,,,,,,,,,,1/1/1969,1.96
,,,,,,,,,,,,,2/1/1969,1.63
,,,,,,,,,,,,,3/1/1969,2.75
,,,,,,,,,,,,,4/1/1969,3.06
,,,,,,,,,,,,,5/1/1969,4.31
,,,,,,,,,,,,,6/1/1969,3.31
,,,,,,,,,,,,,7/1/1969,3.71
,,,,,,,,,,,,,8/1/1969,5.25
,,,,,,,,,,,,,9/1/1969,3.67
,,,,,,,,,,,,,10/1/1969,3.1
,,,,,,,,,,,,,11/1/1969,2.25
,,,,,,,,,,,,,12/1/1969,2.29
,,,,,,,,,,,,,1/1/1970,1.25
,,,,,,,,,,,,,2/1/1970,2.25
,,,,,,,,,,,,,3/1/1970,2.67
,,,,,,,,,,,,,4/1/1970,3.23
,,,,,,,,,,,,,5/1/1970,3.58
,,,,,,,,,,,,,6/1/1970,3.04
,,,,,,,,,,,,,7/1/1970,3.75
,,,,,,,,,,,,,8/1/1970,4.54
,,,,,,,,,,,,,9/1/1970,4.46
,,,,,,,,,,,,,10/1/1970,2.83
,,,,,,,,,,,,,11/1/1970,1.63
,,,,,,,,,,,,,12/1/1970,1.17
,,,,,,,,,,,,,1/1/1971,1.79
,,,,,,,,,,,,,2/1/1971,1.92
,,,,,,,,,,,,,3/1/1971,2.25
,,,,,,,,,,,,,4/1/1971,2.96
,,,,,,,,,,,,,5/1/1971,2.38
,,,,,,,,,,,,,6/1/1971,3.38
,,,,,,,,,,,,,7/1/1971,3.38
,,,,,,,,,,,,,8/1/1971,3.21
,,,,,,,,,,,,,9/1/1971,2.58
,,,,,,,,,,,,,10/1/1971,2.42
,,,,,,,,,,,,,11/1/1971,1.58
,,,,,,,,,,,,,12/1/1971,1.21
,,,,,,,,,,,,,1/1/1972,1.42
,,,,,,,,,,,,,2/1/1972,1.96
,,,,,,,,,,,,,3/1/1972,3.04
,,,,,,,,,,,,,4/1/1972,2.92
,,,,,,,,,,,,,5/1/1972,3.58
,,,,,,,,,,,,,6/1/1972,3.33
,,,,,,,,,,,,,7/1/1972,4.04
,,,,,,,,,,,,,8/1/1972,3.92
,,,,,,,,,,,,,9/1/1972,3.08
,,,,,,,,,,,,,10/1/1972,2
,,,,,,,,,,,,,11/1/1972,1.58
,,,,,,,,,,,,,12/1/1972,1.21
